"�__SITE_NAME","SITE_ID","Average_of_LATITUD","Average_of_LONGITUD","Nodo_HFC"
"Caranavi","CRV",-15.83589,-67.5651,""
"Caranavi Carretero 2","CC2",-15.84734,-67.55169,""
"Caranavi Centro","CVC",-15.83281,-67.56638,""
"Caranda","CRD",-17.52133,-63.53618,""
"Carangas","CRGS",-18.93921,-68.6243,""
"Carapari","CRI",-21.83368,-63.73659,""
"Carcaje","CCJ",-17.54128,-66.03072,""
"Carcel El Abra","CEAB",-17.40458,-66.10811,""
"Carcel San Pedro","CPD",-16.50301,-68.1355,"LPZ548"
"CARIPUYO","CRPY",-18.23242,-66.47171,""
"Carmen de Ruiz","CDR",-16.051,-61.097,""
"Carmen Rivero Torres","CRT",-18.82148,-58.62387,""
"Carretera a Laja","CLJ",-16.52871,-68.3337,""
"Carretera a Palca","CTP",-16.54853,-68.01346,""
"Carretera a Vinto","CVI",-17.40194,-66.32959,""
"Cartonbol","CTB",-17.9736,-67.06936,""
"Casa de la Moneda","CDM",-19.58864,-65.75381,""
"Casco Minero","CMI",-17.92932,-67.11862,""
"Catachilla","CTC",-17.41059,-65.98579,""
"Catacora","CTCR",-17.16327,-69.48746,""
"Cataluna","CAT",-17.71778,-63.16027,"SCZ507"
"Catolica","CTL",-17.68999,-63.15517,""
"Caza y Pesca","CYP",-19.07872,-65.2577,""
"CBN","CBN",-17.88522,-63.28664,"GRD092"
"CBN 2","CBN2",-17.8764,-63.27064,"GRD090"
"Ceja","CEJ",-16.50584,-68.16169,""
"Ceja Hotel","CJH",-16.50784,-68.16295,""
"Cementerio","CEM",-16.4957,-68.14882,"LPZ513"
"Cementerio General Sucre","CGS",-19.05003,-65.27055,"SRE154"
"Cementerio Mercedario","CMER",-16.53342,-68.25268,""
"CEMENTERIO NORTE","CNR",-17.74857,-63.16336,"SCZ006"
"Cementerio Oruro","MET",-17.98225,-67.10742,"ORU194"
"Cementerio Trinidad","CTR",-14.84388,-64.91126,""
"Cementerio Yacuiba","CYA",-22.01142,-63.67703,"YCB004"
"Centenario","CEN",-17.7785,-63.20586,"SCZ033"
"Central","CPT",-19.5822,-65.75421,"PTS038"
"Centro","ORU1",-17.97028,-67.11525,"ORU093"
"Cerro Abra de la Cruz","ACR",-21.85849,-64.66767,""
"Cerro Leteí","CLE",-17.86558,-60.84153,""
"Cerro Miri Kiri","CMK",-16.99411,-68.45838,""
"Cerro Pabellon","CPB",-16.13868,-69.04489,""
"Cerro Pucara","PUC",-17.50903,-67.44781,""
"Cerro San Miguel","CMG",-17.40424,-66.14836,""
"Cerro Verde","CVR",-17.41615,-66.14528,""
"Cerro Yacuses","YCS",-19.0084,-58.22327,""
"Cespedes","CES",-17.39228,-66.15928,""
"Chacarilla","CHR",-17.77247,-63.14866,"SCZ068"
"Chaguaya","CGY",-21.86806,-64.7702,""
"Challapata","CHT",-18.89942,-66.77594,""
"Chane","CHN",-16.97652,-63.22435,""
"Chaqui","CHAQ",-19.57243,-65.56227,""
"Charagua","CRH",-19.78175,-63.18353,""
"Charana","CRN",-17.5927,-69.4447,""
